Total Number of Aligned Reads:	38021	Total Number of Mapped Genomes:	2042
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|365659|org|Streptococcus_mitis_B6	0.8934499319185683	0.723968333289498	27526.0	0.723968333289498	0.0	0.1056351738914398	0.5357389263780645	20369.32971982039	7.890376370952894e-05	0.5919360353488862
ti|479436|org|Veillonella_parvula_DSM_2008	0.07448554882760658	0.019699639672812394	749.0	0.019699639672812394	0.0	0.07448554882373261	0.016863487721697656	641.1666666666666	0.015991162778464532	0.0009731464190841903
ti|591365|org|Streptococcus_intermedius_JTH08	0.01746868954900038	0.029799321427632097	1133.0	0.029799321427632097	0.0	0.017468602871612584	0.01703375749284682	647.640493635529	0.012913915993792904	0.01023118802766892
ti|553174|org|Prevotella_melaninogenica_ATCC_25845	0.006691753447967262	0.025433313169038164	967.0	0.025433313169038164	0.0	0.00668993565183655	0.014641430214403041	556.681818181818	0.014570895031693011	0.0003945188185476447
ti|347253|org|Streptococcus_salivarius_JIM8777	0.0033247996074790426	0.007285447515846506	277.0	0.007285447515846506	0.0	0.000681917538811121	0.0013658599206733937	51.9313600439231	0.0	0.007022434970148076
ti|680646|org|Rothia_mucilaginosa_DY-18	0.0011288500259237057	0.007574761316114779	288.0	0.007574761316114779	0.0	0.0010738382411381773	0.004561119878109344	173.41833888559535	0.004471213276873307	0.0002893138002682728
ti|467705|org|Streptococcus_gordonii_str._Challis_substr._CH1	0.0005571818787228978	0.00775887009810368	295.0	0.00767996633439415	7.890376370952894e-05	0.0005973039486061843	0.0008721050192176934	33.15830493567592	0.0004997238368270166	0.006627916151600431
ti|1114965|org|Streptococcus_parasanguinis_FW213	0.0005121400836306313	0.0018410878198890086	70.0	0.0018410878198890086	0.0	0.00032938823856757196	0.001390417796017761	52.86507502239129	0.0004471213276873307	0.013860761158307252
ti|176279|org|Staphylococcus_epidermidis_RP62A	0.00038078695852634096	0.0012098577102127772	46.0	0.0012098577102127772	0.0	0.000179981103147253	4.083615841107199e-05	1.5526315789473684	0.0	0.00010520501827937193
ti|546271|org|Selenomonas_sputigena_ATCC_35185	0.0003633458252019475	0.0003945188185476447	15.0	0.0003945188185476447	0.0	0.0003633458252011888	0.000319998597266423	12.16666666666667	0.0002630125456984298	0.00015780752741905788
ti|767031|org|Prevotella_denticola_F0289	0.00014551510456160035	0.00010520501827937193	4.0	0.00010520501827937193	0.0	0.0001473327602566712	8.368580999495492e-05	3.181818181818181	2.6301254569842983e-05	0.00036821756397780174
ti|985006|org|Staphylococcus_aureus_subsp._aureus_LGA251	4.7806618913474164e-05	0.0008744557650812275	33.24768264415335	5.2602509139685966e-05	0.011309539465032482	3.7177789766337255e-05	1.3550303212208323e-05	0.5151960784313726	0.0	0.00031561505483811576
ti|985002|org|Staphylococcus_aureus_subsp._aureus_MSHR1132	4.7806618913474164e-05	0.000500834586600632	19.04223181714263	0.0	0.009468451645143473	3.7177789766337255e-05	9.166760783901158e-06	0.3485294117647059	0.0	0.0002893138002682728
ti|93062|org|Staphylococcus_aureus_subsp._aureus_COL	4.7806618913474164e-05	0.0005865578818102271	22.301517224306643	7.890376370952894e-05	0.00978406669998159	3.7177789766337255e-05	1.0551037340208683e-05	0.40116099071207434	0.0	0.00031561505483811576
ti|93061|org|Staphylococcus_aureus_subsp._aureus_NCTC_8325	4.7806618913474164e-05	0.000494862629162554	18.815172023389465	0.0	0.009389547881433945	3.7177789766337255e-05	8.509229419655083e-06	0.3235294117647059	0.0	0.0002893138002682728
ti|703339|org|Staphylococcus_aureus_04-02981	4.7806618913474164e-05	0.0005382206084232033	20.463685752858613	2.6301254569842983e-05	0.010257489282238763	3.7177789766337255e-05	9.166760783901158e-06	0.3485294117647059	0.0	0.0002893138002682728
