Total Number of Aligned Reads:	10626	Total Number of Mapped Genomes:	1957
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|479436|org|Veillonella_parvula_DSM_2008	0.4853925430551135	0.012704686617730096	135.0	0.012704686617730096	0.0	0.48539254303632295	0.00414856595106716	44.08266179603964	0.0038584603801995105	0.000282326369282891
ti|365659|org|Streptococcus_mitis_B6	0.24661118374985516	0.020045172219085264	213.0	0.020045172219085264	0.0	0.017267224243405967	0.006920643237662858	73.53875504340553	0.0	0.007905138339920948
ti|1074919|org|Staphylococcus_aureus_subsp._aureus_ST228	0.09594289625602201	0.01176359872012046	125.0	0.01129305477131564	0.0004705439488048184	0.002944382944452985	4.5204768235028634e-05	0.4803458672654143	0.0	0.0009410878976096367
ti|176279|org|Staphylococcus_epidermidis_RP62A	0.08353069809989552	0.008093355919442876	86.0	0.007528703180877094	0.000564652738565782	0.04049312017617414	0.0008512181846457574	9.045044430045818	9.410878976096367e-05	0.001411631846414455
ti|749219|org|Moraxella_catarrhalis_RH4	0.03286463969208424	0.6538678712591756	6948.0	0.6538678712591756	0.0	0.03286463266710607	0.6284454258215674	6677.861094779974	0.5962732919254659	0.03773762469414643
ti|342451|org|Staphylococcus_saprophyticus_subsp._saprophyticus_ATCC_15305	0.026310402707017885	0.008093355919442876	86.0	0.008093355919442876	0.0	0.025232645102001062	0.0009818838148467845	10.433497416561933	0.0009410878976096367	0.00018821757952192734
ti|279808|org|Staphylococcus_haemolyticus_JCSC1435	0.021481088237279143	0.0003764351590438547	4.0	0.0003764351590438547	0.0	0.02206710064324883	0.00022717277139242591	2.4139378688159177	0.00018821757952192734	0.00018821757952192734
ti|467705|org|Streptococcus_gordonii_str._Challis_substr._CH1	0.003496768789635844	0.019386410690758516	206.0	0.019386410690758516	0.0	0.003505203988533003	0.0009951191567346774	10.574136159462682	0.0009410878976096367	0.0003764351590438547
ti|866630|org|Haemophilus_influenzae_F3031	0.0012075387350630026	0.0017880670054583098	19.0	0.0017880670054583098	0.0	0.0004704288930485015	0.0010257858083945039	10.899999999999999	0.0004705439488048184	0.0007528703180877094
ti|767031|org|Prevotella_denticola_F0289	0.000986643192312071	0.00018821757952192734	2.0	0.00018821757952192734	0.0	0.0009866324074986545	9.410878976096367e-05	1.0	9.410878976096367e-05	0.0
ti|553174|org|Prevotella_melaninogenica_ATCC_25845	0.0008224279622058932	0.00018821757952192734	2.0	0.00018821757952192734	0.0	0.0008224387463752782	0.00018821757952192734	2.0	0.00018821757952192734	0.0
ti|511691|org|Streptococcus_mutans_NN2025	0.00020969891001451367	0.005458309806135893	58.0	0.005458309806135893	0.0	8.978771728945239e-05	0.0003525704800113127	3.7464139206002085	0.0	0.0004705439488048184
ti|909952|org|Propionibacterium_acnes_266	0.0001983335919050045	0.00271033314511575	28.799999999999958	0.000282326369282891	0.010822510822510822	9.916569416713833e-05	0.00011957139112651584	1.2705656021103573	0.0	0.0007528703180877094
ti|1234380|org|Propionibacterium_acnes_C1	0.0001983335919050045	0.0024672187715665942	26.21666666666663	9.410878976096367e-05	0.010540184453227932	9.916569416713833e-05	0.00011470685756391082	1.2188750684741163	0.0	0.0007528703180877094
ti|1114969|org|Propionibacterium_acnes_TypeIA2_P.acn31	0.0001983335919050045	0.0025848547587677987	27.46666666666663	0.000282326369282891	0.010446075663466968	9.916569416713833e-05	0.00011418613980755234	1.2133419215950512	0.0	0.0007528703180877094
ti|1114967|org|Propionibacterium_acnes_TypeIA2_P.acn17	0.0001983335919050045	0.0028593387289039423	30.38333333333329	0.000282326369282891	0.011198945981554678	9.916569416713833e-05	0.0001211704917700214	1.2875576455482474	0.0	0.0007528703180877094
